component,variance,se,share,share_lo,share_hi
family,0.589318689858814,0.3996219843126498,0.5567722555668733,0.21478202630764018,0.8255093419729593
era,0.13701653831849764,0.10209008555698142,0.12944949549764206,0.024300097227804362,0.4548483520729225
unique,0.3321203323620758,0.08580980979753809,0.31377824893548456,0.11011448055693193,0.5860375424842629
