i,j,weight,stability
Mistral-Small-3,Phi-4,0.06487567507261485,0.044
Mistral-Small-3.1,Qwen2.5,0.05660394318852299,0.044
DeepSeek-V3,Llama-2,0.060148087990302544,0.042
Llama-2,Qwen-7B,0.05866715989082296,0.042
Mistral-Small-4,Qwen-7B,0.05877854394698216,0.042
DeepSeek-V3,Qwen-7B,0.05675944396308507,0.042
Mixtral-8x7B,Qwen2.5,0.05224552522373631,0.042
Gemma-4-12B,Mistral-7B,0.06468529799939547,0.042
Mistral-Large-3,Mistral-Small-3.1,0.05463833817035343,0.042
Mistral-Small-2,Qwen3.5,0.05471468197406608,0.042
Llama-4,Mistral-Medium-3,0.05906253582934462,0.042
Gemma-1,Llama-3.1,0.0730466995923756,0.042
Gemma-2,Phi-3.5,0.06719140179545037,0.042
Gemma-3,Mistral-Small-3.2,0.055290205607773396,0.04
Mistral-7B,Qwen3,0.06042488132725519,0.04
Mistral-Small-3.2,Mixtral-8x7B,0.056209506849972814,0.04
DeepSeek-V3,Mistral-Large-3,0.04957278147268472,0.04
Mistral-Medium-3.5,Mistral-Small-3,0.0610959409259019,0.038
Llama-3.3,Qwen2,0.05721023411199369,0.038
Llama-3.2,Mistral-Small-3.2,0.05521843917020562,0.038
Gemma-2,Mixtral-8x7B,0.06410360671626905,0.038
DeepSeek-R1,Llama-2,0.05961888546522791,0.038
Llama-3.2,Qwen3.5,0.06461262930172508,0.038
Gemma-4,Llama-1,0.05575346770562459,0.038
DeepSeek-V3,Devstral-2,0.05887647659390088,0.038
DeepSeek-V3.1,Llama-3.2,0.06957129919238175,0.036
Gemma-1,Phi-3.5,0.06954638342599982,0.036
Gemma-4-12B,Qwen-7B,0.05609351001462546,0.036
DeepSeek-V3,Qwen2,0.055699000218658735,0.036
Gemma-3n,Mistral-Small-3.1,0.06109875918786289,0.036
Gemma-4,Mistral-7B,0.06640262589449053,0.036
Ministral-3,Qwen3.6,0.05930919202468959,0.036
Llama-3.1,Phi-4,0.06774317268344925,0.036
Gemma-4-12B,Llama-3.3,0.05184585491354894,0.036
DeepSeek-R1,Gemma-3n,0.051755854350369605,0.034
Phi-1,Qwen1.5,0.05493520192184457,0.034
Mistral-Large-2,Phi-2,0.060112427524036234,0.034
Llama-4,Phi-1,0.05653491663543206,0.034
Gemma-3n,Phi-2,0.05874434328411307,0.034
Phi-3,Phi-4,0.05273372751649192,0.034
Gemma-3n,Qwen2.5,0.05364664087391171,0.034
DeepSeek-R1,Llama-3.3,0.04834908689624388,0.034
Llama-4,Mistral-Large-2,0.0654050431758317,0.034
Gemma-2,Mixtral-8x22B,0.055556900973432195,0.034
Qwen-7B,Qwen3.5,0.05535312796490158,0.034
Llama-3.3,Qwen2.5,0.05536557751530086,0.034
Phi-3.5,Qwen3,0.061837235125057975,0.034
Llama-3.3,Qwen1.5,0.054715448168715736,0.032
Gemma-2,Llama-2,0.05823295342476983,0.032
DeepSeek-V3.1,Mistral-Large-3,0.05594737894975584,0.032
DeepSeek-V3,Gemma-3n,0.05095607631209305,0.032
DeepSeek-V3.1,Mistral-Small-3,0.0633463933564674,0.032
DeepSeek-V3.2,Mistral-Large-2,0.058878096997147605,0.032
Llama-3.2,Mistral-Large-3,0.05539741711593423,0.032
Mistral-Small-4,Mixtral-8x7B,0.053965233268488684,0.032
DeepSeek-V3,Llama-1,0.04971583201165302,0.032
Phi-4-reasoning-plus,Qwen2,0.052678021342565634,0.032
Mistral-7B,Qwen-7B,0.06254598290960728,0.032
Gemma-2,Mistral-Small-4,0.04777985486299556,0.032
Gemma-3,Mistral-Small-3,0.05748045692758438,0.032
Mistral-Small-3.2,Qwen1.5,0.055609937698334486,0.032
Devstral-2,Phi-4,0.061884146829271874,0.032
DeepSeek-V3.2,Gemma-4,0.05729487216213655,0.03
Llama-3.1,Qwen-7B,0.056868029528111035,0.03
Mistral-Small-3.2,Qwen3.5,0.05777216190125799,0.03
Llama-3,Mixtral-8x22B,0.05900879021593073,0.03
Llama-3,Mistral-Small-3,0.06669891466911529,0.03
Ministral-3,Qwen2,0.05862359563808026,0.03
DeepSeek-V3,Qwen1.5,0.052592749318661466,0.03
Llama-3.2,Qwen2,0.06012906189163283,0.03
Llama-3.1,Phi-3.5,0.06362397430393744,0.03
Llama-3.2,Phi-2,0.06100170752088194,0.03
Mistral-Small-3.1,Phi-3,0.052886614542167865,0.03
Llama-4,Mistral-Large-3,0.05569007602648286,0.03
Gemma-3,Phi-3,0.046480123904327306,0.03
Llama-3.3,Phi-1,0.04896696349209274,0.03
Gemma-3n,Phi-1,0.051288421822819195,0.028
Gemma-2,Mistral-Large-2,0.06404124614137431,0.028
DeepSeek-V3.2,Llama-3.1,0.05922916846816486,0.028
Gemma-1,Llama-2,0.06402901858462991,0.028
Mistral-Large-3,Mistral-Medium-3.5,0.049062794019554164,0.028
Llama-1,Mixtral-8x22B,0.051738958329703835,0.028
Mistral-Small-4,Phi-4,0.052179675486346486,0.028
Mistral-Small-3,Mixtral-8x7B,0.06614249559914852,0.028
Mistral-Medium-3.5,Mixtral-8x22B,0.05832735200892182,0.028
Mistral-Small-2,Qwen3.6,0.04679136161141858,0.028
Mistral-7B,Qwen2,0.057284193219942374,0.028
Mistral-Large-2,Qwen3.6,0.050520550626111396,0.028
DeepSeek-V4,Mistral-Large-2,0.059927363346571255,0.026
Llama-3.2,Mistral-7B,0.06386513912317228,0.026
Phi-2,Phi-3,0.05213480807616969,0.026
Mistral-Medium-3.5,Phi-2,0.05453714556827219,0.026
Llama-3.3,Phi-2,0.05331306419778116,0.026
Ministral-3,Phi-3.5,0.06356145640773156,0.026
Llama-2,Qwen2,0.05782927312933406,0.026
Phi-3.5,Qwen3.5,0.0603341722350419,0.026
Gemma-3,Qwen2.5,0.04969239213682612,0.026
Gemma-3,Phi-4,0.06051175521064293,0.026
Mistral-Large-2,Mistral-Small-3,0.06128407337727507,0.026
Llama-3.3,Phi-4-reasoning-plus,0.05484268575273709,0.026
Mistral-Small-3.2,Phi-3,0.042761552391805846,0.024
Mistral-Medium-3,Qwen3.6,0.041272404631580016,0.024
Phi-4,Qwen3.6,0.04695281844639672,0.024
Llama-3.2,Mistral-Small-3,0.057250830381294214,0.024
Ministral-3,Mistral-Small-2,0.04448038314273107,0.024
Llama-3.2,Phi-1,0.04901421475953231,0.024
Mistral-Medium-3,Mistral-Small-2,0.047852852908464596,0.024
Gemma-4,Phi-4-reasoning-vision-15B,0.06267991472652891,0.024
Phi-3.5,Qwen2,0.05892963277663003,0.024
Phi-2,Phi-3.5,0.0596693257230611,0.024
Phi-4,Phi-4-reasoning-vision-15B,0.060163019799633836,0.024
Gemma-4,Phi-3.5,0.06013868207978147,0.024
Qwen2.5,Qwen3,0.050595391281067305,0.024
Mistral-Small-4,Phi-1,0.046358441406692576,0.024
Gemma-4,Qwen2.5,0.05170864157572826,0.024
Mistral-Medium-3,Qwen2,0.055350686814907485,0.024
Gemma-3,Mistral-Small-4,0.05110275026325223,0.024
Llama-3.3,Phi-3,0.05196454758215817,0.022
Ministral-3,Qwen1.5,0.06483659860072657,0.022
Gemma-4-12B,Phi-4-reasoning-vision-15B,0.05152163837190419,0.022
Phi-3,Qwen2.5,0.04561100460889429,0.022
Llama-3.1,Phi-2,0.05634492618231456,0.022
Mistral-Medium-3.5,Qwen3.5,0.056075424792588154,0.022
Llama-3.2,Phi-4,0.06357520225414293,0.022
Mistral-Large-3,Phi-2,0.0481496061727372,0.022
DeepSeek-V4,Gemma-3n,0.04804330384821909,0.022
Llama-1,Phi-3.5,0.04992066124606585,0.022
Gemma-1,Mistral-Large-3,0.04659805584290481,0.022
Phi-1.5,Qwen1.5,0.05884877840798213,0.022
Mistral-Large-2,Qwen3,0.056919854038484395,0.022
Llama-1,Qwen-7B,0.04711558287523953,0.022
Gemma-3n,Phi-1.5,0.051291666889621924,0.022
DeepSeek-V3,Mixtral-8x7B,0.05055769874966517,0.022
Llama-3.2,Phi-3.5,0.06457564855651954,0.022
Devstral-2,Gemma-3n,0.04805351207485863,0.02
Gemma-4-12B,Mistral-Small-4,0.044990345538591776,0.02
DeepSeek-V3,Gemma-4-12B,0.04573044309266701,0.02
DeepSeek-V3.1,Mistral-Medium-3.5,0.05118650585751232,0.02
Ministral-3,Mistral-Large-2,0.059631103712533134,0.02
Mixtral-8x22B,Mixtral-8x7B,0.057507534937709034,0.02
Llama-3.1,Llama-4,0.06545455627258845,0.02
Gemma-3,Phi-4-reasoning-vision-15B,0.05658737968515221,0.02
Mistral-Medium-3,Mixtral-8x7B,0.05120281000178141,0.02
Gemma-2,Llama-3.3,0.05404426065437029,0.02
Phi-3,Qwen2,0.04789561369074254,0.02
Llama-1,Mistral-Medium-3,0.04872682398931877,0.02
Devstral-2,Qwen3.6,0.05107730178084277,0.02
Qwen-7B,Qwen2,0.05034191321321647,0.02
DeepSeek-V3.1,Phi-3,0.05253053468809788,0.02
DeepSeek-V4,Mistral-Small-2,0.042557817642449224,0.02
DeepSeek-R1,Mixtral-8x7B,0.050622243570400294,0.02
Llama-3.3,Mistral-Small-3.2,0.05050709333294274,0.02
Gemma-3n,Mistral-Medium-3.5,0.04978334763053506,0.02
Llama-3,Phi-4-reasoning-plus,0.05621000426254507,0.02
Phi-2,Phi-4,0.0534274309988373,0.02
DeepSeek-R1,Phi-4-reasoning-vision-15B,0.04990843269335563,0.02
Mixtral-8x7B,Phi-3.5,0.05596446868105732,0.018
Gemma-4-12B,Mistral-Large-3,0.04679953684775787,0.018
Llama-4,Mistral-Medium-3.5,0.0520669267827771,0.018
Gemma-4-12B,Qwen2.5,0.04840341458513638,0.018
Llama-1,Mistral-Small-3,0.05033871786656529,0.018
Mixtral-8x22B,Qwen1.5,0.053986134819382456,0.018
Llama-2,Phi-3,0.04950104043502592,0.018
Llama-3.3,Llama-4,0.05454320088246644,0.018
Phi-1,Qwen3.6,0.044069365032657924,0.018
Gemma-4,Ministral-3,0.0591519164355568,0.018
DeepSeek-R1,DeepSeek-V3.2,0.04797800444454332,0.018
DeepSeek-V4,Llama-1,0.04521244915219798,0.018
DeepSeek-V3.2,Mixtral-8x7B,0.05278110205636233,0.018
Gemma-2,Phi-4-reasoning-vision-15B,0.061304057272050676,0.018
Devstral-2,Phi-2,0.06095125204940316,0.018
Devstral-2,Qwen-7B,0.0477456560000507,0.018
DeepSeek-V3.1,Llama-2,0.05426196911131393,0.018
DeepSeek-V3.2,Phi-3,0.049300575550789996,0.018
DeepSeek-V3.2,Phi-4-reasoning-plus,0.05092911090994943,0.018
Gemma-4,Mistral-Small-3.2,0.051641527787265745,0.018
Mistral-Small-4,Qwen1.5,0.04758408412031883,0.018
Mistral-Medium-3,Phi-4-reasoning-plus,0.04879735360591658,0.018
Llama-3,Mistral-Medium-3.5,0.051031965829441625,0.016
DeepSeek-V3.1,Phi-3.5,0.06449849790568661,0.016
DeepSeek-V3.2,Phi-4,0.05299650143843557,0.016
Ministral-3,Mixtral-8x22B,0.057263965173661086,0.016
Gemma-3n,Qwen3,0.05163393895663157,0.016
DeepSeek-R1,Llama-4,0.04307798441812751,0.016
Gemma-1,Phi-4,0.06026332690998215,0.016
Llama-2,Phi-4-reasoning-plus,0.05405854260871071,0.016
Mixtral-8x22B,Phi-4-reasoning-vision-15B,0.05452062961384648,0.016
Mixtral-8x22B,Qwen-7B,0.04900108816804385,0.016
Devstral-2,Qwen2.5,0.047833990867529756,0.016
Mistral-Small-3,Phi-4-reasoning-plus,0.05542126103676634,0.016
Mistral-Small-4,Phi-1.5,0.04400020414051558,0.016
Mixtral-8x22B,Phi-1.5,0.04438031771087598,0.016
Gemma-3n,Llama-4,0.05013000562567003,0.016
Llama-3.2,Llama-4,0.05872995995512278,0.016
Phi-1.5,Qwen2,0.052720295368001456,0.016
Gemma-4,Mistral-Large-3,0.05008578411713284,0.016
Gemma-2,Phi-2,0.052133301939140946,0.016
DeepSeek-V4,Qwen3,0.04969005497611731,0.016
Gemma-3n,Llama-3,0.05019986001338696,0.016
Llama-1,Qwen2.5,0.043555701297754976,0.016
Mixtral-8x7B,Phi-4-reasoning-plus,0.055964773175374294,0.016
DeepSeek-R1,Gemma-4-12B,0.04826530328489524,0.016
DeepSeek-V3.2,Phi-3.5,0.055252280584621526,0.016
Mistral-7B,Phi-1.5,0.058674903855353656,0.016
Llama-2,Ministral-3,0.05481840033682471,0.016
DeepSeek-R1,Phi-1.5,0.046162953125759604,0.016
Llama-3.2,Llama-3.3,0.057855794472486614,0.016
DeepSeek-V3.2,Qwen3.5,0.05243120775172453,0.016
Mistral-Medium-3.5,Qwen1.5,0.05063888988433097,0.016
Mistral-Small-2,Phi-3.5,0.04436633055288626,0.014
Llama-3,Mistral-Medium-3,0.045897271408315475,0.014
Devstral-2,Mistral-Small-4,0.046545076970322,0.014
Mixtral-8x7B,Qwen2,0.05350587502803724,0.014
DeepSeek-V4,Mistral-Large-3,0.044529566915718764,0.014
Gemma-3n,Phi-4-reasoning-vision-15B,0.05210073869279401,0.014
Gemma-3n,Mistral-Small-2,0.04219281998478742,0.014
Phi-3,Phi-4-reasoning-plus,0.043831235906066336,0.014
DeepSeek-V4,Phi-3,0.03777586663863344,0.014
Ministral-3,Mistral-Small-3.2,0.048411229865305314,0.014
DeepSeek-V4,Mistral-7B,0.04363917041734575,0.014
Devstral-2,Mixtral-8x7B,0.05155632131363381,0.014
Mistral-Small-4,Qwen2,0.042107085124343406,0.014
DeepSeek-R1,Qwen3.5,0.050900817188699085,0.014
Ministral-3,Mixtral-8x7B,0.05332697656643704,0.014
Llama-2,Mistral-Medium-3.5,0.04887237427722289,0.014
Mixtral-8x22B,Qwen2.5,0.03691481866146648,0.014
Gemma-2,Qwen1.5,0.0549767320767894,0.014
Qwen3.5,Qwen3.6,0.05030450023993498,0.014
DeepSeek-R1,Mistral-Small-3.2,0.04464736977389968,0.014
Gemma-4,Mistral-Large-2,0.05891827866061563,0.014
Gemma-4-12B,Phi-3,0.04506593032539686,0.014
Gemma-4,Qwen2,0.05314805957668636,0.014
Mistral-Medium-3,Mistral-Small-3,0.043774487667487386,0.012
DeepSeek-R1,Gemma-3,0.0466352534925791,0.012
Mistral-7B,Mistral-Large-2,0.0573968598515164,0.012
Mistral-Large-2,Phi-4-reasoning-plus,0.054648100009139604,0.012
Gemma-3,Qwen3.5,0.048765296627829774,0.012
Llama-3.1,Qwen3,0.05486178410897533,0.012
DeepSeek-R1,Mistral-Large-2,0.04496525553467305,0.012
Mistral-Small-3,Mixtral-8x22B,0.04467313940065051,0.012
Mistral-Large-2,Mistral-Small-2,0.043387823341400074,0.012
DeepSeek-R1,Qwen1.5,0.04591705916041966,0.012
Mistral-7B,Qwen2.5,0.04823044102909762,0.012
Mistral-Small-3.2,Qwen3.6,0.04165124057311296,0.012
Llama-3.1,Mistral-Small-2,0.04197557526273785,0.012
Phi-4,Qwen2.5,0.044627716304517145,0.012
Gemma-1,Qwen3,0.05101674211842597,0.012
Llama-1,Mistral-Large-3,0.04117490898985064,0.012
Qwen3,Qwen3.6,0.04359813342090721,0.012
DeepSeek-R1,Qwen2.5,0.044096910672752,0.012
DeepSeek-V3.2,Phi-2,0.04275664475224755,0.012
Llama-2,Mistral-Small-3,0.04815831937034186,0.012
Devstral-2,Llama-3.2,0.05759931091483976,0.012
DeepSeek-V4,Mistral-Small-3.1,0.047749588728596734,0.012
DeepSeek-V4,Gemma-3,0.044971348517762515,0.012
Llama-3.2,Mistral-Small-4,0.04939331978813118,0.012
Mistral-7B,Phi-2,0.05330127490117357,0.012
Phi-3,Phi-3.5,0.04382212486182511,0.01
DeepSeek-V3.1,Qwen3.5,0.0566538384836773,0.01
Llama-2,Mixtral-8x7B,0.04815390580390115,0.01
Llama-3,Llama-3.3,0.04992689040237636,0.01
Llama-3.1,Mistral-Large-2,0.05605040077808959,0.01
Gemma-4-12B,Mixtral-8x7B,0.044261456944210374,0.01
Mistral-Medium-3.5,Qwen2.5,0.04935818784238535,0.01
Gemma-4-12B,Qwen3.5,0.041553192953440614,0.01
Phi-3,Qwen3.5,0.039249581554940564,0.01
Llama-1,Mixtral-8x7B,0.042037019516492684,0.01
Qwen-7B,Qwen3,0.042321926703424606,0.01
DeepSeek-V4,Qwen-7B,0.04356531012512294,0.01
Llama-4,Ministral-3,0.05951706221516206,0.01
Mistral-Small-3.1,Phi-3.5,0.05432938548890497,0.01
DeepSeek-V3.2,Gemma-1,0.05084602029010382,0.01
Mistral-Large-2,Mistral-Small-4,0.04066397067741922,0.01
Mistral-Small-3.2,Qwen2.5,0.036008830988425305,0.01
Gemma-1,Llama-1,0.04018364071463421,0.01
Mistral-Medium-3.5,Phi-1.5,0.039987598107355665,0.01
DeepSeek-R1,Phi-4,0.03997237573468245,0.01
DeepSeek-V3.2,Llama-4,0.048665148259790014,0.01
Llama-3,Phi-1.5,0.053730991104611464,0.01
DeepSeek-V4,Llama-4,0.037160836784531616,0.01
Mixtral-8x22B,Phi-3,0.04403080324705941,0.01
Gemma-3n,Mixtral-8x7B,0.04893070979549604,0.01
Gemma-1,Gemma-2,0.05659666239652491,0.01
Gemma-2,Mistral-Medium-3,0.04399894984156729,0.01
DeepSeek-R1,DeepSeek-V3.1,0.048174534560589316,0.01
Mistral-Large-3,Qwen-7B,0.0441035034512715,0.008
DeepSeek-R1,Mixtral-8x22B,0.04118860555551593,0.008
Llama-4,Mistral-Small-4,0.04067795656988686,0.008
Mistral-Medium-3,Phi-1,0.03454353317563898,0.008
Devstral-2,Phi-1,0.04618288077321944,0.008
Devstral-2,Qwen3.5,0.0461459607810542,0.008
DeepSeek-V3,Mistral-7B,0.03613437078822116,0.008
Llama-4,Qwen3.5,0.05277344729811207,0.008
Mistral-Small-2,Qwen-7B,0.03409333557748173,0.008
Llama-2,Mistral-Large-2,0.04972227951896832,0.008
Mistral-Small-3.1,Phi-1.5,0.05354296839152463,0.008
Llama-4,Qwen-7B,0.043460579133137375,0.008
Llama-3.3,Qwen3,0.0439990077554254,0.008
Llama-3,Phi-3,0.03770861424209077,0.008
Gemma-2,Qwen2.5,0.0406265718949761,0.008
Llama-3.3,Mistral-Small-3.1,0.044564294178144066,0.008
Llama-4,Mistral-Small-3.1,0.05277896893962133,0.008
Mistral-Small-3.1,Phi-4,0.055305064110580164,0.008
Llama-3.1,Mistral-Small-3.1,0.05037538716185131,0.008
Mistral-Large-2,Phi-4,0.04882623645028266,0.008
Llama-3.2,Qwen-7B,0.04988008234367531,0.008
DeepSeek-V3.1,Qwen3,0.04801737394971701,0.008
Gemma-1,Mistral-Small-4,0.036380339518244986,0.008
Gemma-4-12B,Mistral-Small-3,0.04361850479852022,0.008
Phi-1,Phi-4-reasoning-plus,0.043696253915193266,0.008
Mistral-Large-2,Mixtral-8x22B,0.04605922277053368,0.008
Llama-3.1,Phi-4-reasoning-plus,0.04757523635744578,0.008
Gemma-4-12B,Phi-1.5,0.043392597455559796,0.008
Llama-2,Mistral-Medium-3,0.042180305860097154,0.008
Ministral-3,Mistral-Medium-3,0.04112879680697967,0.008
Gemma-3,Phi-2,0.04758615299444751,0.008
DeepSeek-V3,Phi-3,0.03893854646198446,0.008
DeepSeek-V4,Phi-1.5,0.04405827982377763,0.008
Gemma-4-12B,Qwen1.5,0.04485215379178015,0.008
Mistral-Large-3,Qwen3.5,0.03644109457086202,0.008
DeepSeek-V3.1,Llama-3.1,0.055981650751530145,0.008
Mistral-Medium-3,Mistral-Small-3.2,0.031174781214068442,0.006
Mistral-Medium-3.5,Mistral-Small-3.2,0.03770477204697038,0.006
Llama-2,Phi-3.5,0.039955373862515936,0.006
Llama-1,Phi-3,0.040732590413534726,0.006
Llama-3.2,Mixtral-8x22B,0.04526688760030846,0.006
Llama-3,Phi-3.5,0.05809820100396082,0.006
Devstral-2,Llama-2,0.040303314605220825,0.006
Mixtral-8x22B,Phi-4-reasoning-plus,0.041089613548645695,0.006
Mistral-Large-3,Mistral-Small-3,0.042328402851182716,0.006
Gemma-3n,Qwen1.5,0.0445521343104844,0.006
Gemma-3,Phi-1.5,0.050589067864674514,0.006
Llama-4,Phi-4,0.050497658000085786,0.006
Mistral-Small-2,Phi-4,0.038500499532979085,0.006
Llama-3.1,Phi-3,0.03910835542071756,0.006
Gemma-3n,Mistral-Small-3.2,0.03998622607477526,0.006
Llama-3,Phi-1,0.03476158256380558,0.006
Phi-1.5,Qwen3.6,0.039478337770052226,0.006
Gemma-4-12B,Mixtral-8x22B,0.03368880984672945,0.006
Mistral-Medium-3.5,Phi-4,0.04241639844750871,0.006
Mistral-Small-3.2,Mistral-Small-4,0.03417824548636469,0.006
Phi-3,Qwen3,0.04359220354430751,0.006
Gemma-3n,Gemma-4,0.04788471238937358,0.006
Gemma-4-12B,Phi-2,0.04498545336249435,0.006
Gemma-3,Gemma-3n,0.044537591384378385,0.006
Gemma-1,Mixtral-8x7B,0.04555764364110623,0.006
DeepSeek-V3.2,Qwen2.5,0.040387768268570365,0.006
Gemma-4-12B,Mistral-Small-2,0.03270890050554735,0.006
Llama-3.1,Ministral-3,0.04867890129066173,0.006
Llama-1,Phi-1.5,0.03265287245182803,0.006
Mixtral-8x7B,Qwen1.5,0.04944060891051881,0.006
Mistral-Medium-3.5,Phi-4-reasoning-plus,0.0389879864459264,0.006
Gemma-4,Mixtral-8x22B,0.043144254330210595,0.006
Phi-4-reasoning-plus,Qwen-7B,0.0476297284916356,0.006
Gemma-4-12B,Llama-3.2,0.042137076781537705,0.006
Ministral-3,Phi-1.5,0.04819590193354526,0.006
DeepSeek-V3,Phi-4,0.03654590022665918,0.006
Llama-3.1,Mistral-Large-3,0.04406196926271819,0.006
Devstral-2,Qwen1.5,0.04728875025951174,0.006
Phi-4,Qwen3.5,0.04677774738018722,0.006
DeepSeek-V4,Phi-1,0.03582267686040267,0.006
Mixtral-8x7B,Phi-1,0.029885934175333154,0.006
Gemma-2,Llama-3.2,0.05581795437867869,0.006
Qwen2.5,Qwen3.6,0.031161944501799262,0.006
DeepSeek-R1,Llama-1,0.04010446208217036,0.006
Llama-3.3,Mistral-Medium-3,0.043909579714944455,0.006
Mistral-Small-3,Mistral-Small-4,0.0339979565633167,0.006
Mistral-Small-3,Phi-3,0.04028827449811495,0.006
Mistral-Small-3.2,Phi-1.5,0.045883338562661344,0.006
DeepSeek-V4,Mistral-Small-4,0.03316931198349968,0.006
Phi-3.5,Qwen2.5,0.045660828884080275,0.004
Mistral-Small-3.1,Phi-1,0.036523362528069966,0.004
Gemma-2,Llama-4,0.048176375788880996,0.004
Mistral-Small-2,Phi-4-reasoning-plus,0.028187864579757835,0.004
Llama-3.2,Phi-4-reasoning-plus,0.04637745738082862,0.004
Mistral-Small-3.2,Mixtral-8x22B,0.032406885981648294,0.004
Llama-2,Phi-4,0.04133127116368208,0.004
Ministral-3,Mistral-Small-4,0.031237471608962605,0.004
DeepSeek-V3,Mistral-Small-2,0.03679558484769346,0.004
Llama-3,Mixtral-8x7B,0.045962899573735456,0.004
Mistral-Small-3.1,Mistral-Small-3.2,0.03660348535109529,0.004
Gemma-3,Mistral-Small-3.1,0.04444489763665882,0.004
Llama-2,Qwen3,0.04808448768799399,0.004
DeepSeek-V3.2,Mistral-Medium-3.5,0.04355474338500671,0.004
DeepSeek-V4,Devstral-2,0.03685711690750204,0.004
Llama-3.3,Mistral-Small-2,0.03609933002150196,0.004
Mistral-Small-3.1,Qwen-7B,0.041750131852024266,0.004
DeepSeek-V4,Phi-4-reasoning-plus,0.038645825904319586,0.004
DeepSeek-R1,Devstral-2,0.03367969134857396,0.004
Mistral-Small-2,Qwen3,0.03409333557748173,0.004
DeepSeek-V3,Mistral-Small-3.2,0.034709682183544935,0.004
Llama-4,Mistral-7B,0.04509939696713606,0.004
Devstral-2,Gemma-4,0.04938520168468889,0.004
Gemma-1,Mistral-Large-2,0.045272004112956385,0.004
Gemma-3n,Gemma-4-12B,0.03292466728903684,0.004
DeepSeek-V3.1,Gemma-4-12B,0.04253404217243904,0.004
Gemma-4,Llama-3,0.049487166069705504,0.004
Phi-1,Qwen2.5,0.025977094036224335,0.004
DeepSeek-V3,Mistral-Small-4,0.0355128646870406,0.004
Phi-4-reasoning-vision-15B,Qwen1.5,0.049378793644360576,0.004
Mistral-Small-2,Qwen2.5,0.023662854935234214,0.004
Phi-1.5,Phi-4-reasoning-plus,0.032289073455260324,0.004
Mistral-Medium-3.5,Phi-4-reasoning-vision-15B,0.050017323706667054,0.004
Gemma-3n,Ministral-3,0.047736097180391984,0.004
Mistral-Large-3,Qwen3,0.03161077279752639,0.004
Mistral-Large-2,Mistral-Small-3.1,0.045818725612955115,0.004
Mistral-Large-3,Mistral-Medium-3,0.03505912023508585,0.004
Mistral-Small-2,Phi-4-reasoning-vision-15B,0.02458608703821498,0.004
Mistral-Large-2,Qwen2,0.0363630442303013,0.004
DeepSeek-V3.1,Qwen-7B,0.04600676453887549,0.004
Gemma-3,Llama-2,0.047138345796883245,0.004
Llama-4,Mixtral-8x22B,0.038918244570687835,0.004
Phi-1,Qwen2,0.03128497624120337,0.004
Mistral-Small-3.2,Phi-1,0.026722760851623922,0.004
Gemma-2,Qwen3.6,0.0264764356149469,0.004
Llama-3.3,Phi-4-reasoning-vision-15B,0.046116201439769994,0.004
DeepSeek-V3,Mistral-Medium-3,0.03323835047883385,0.004
DeepSeek-V3.2,Llama-2,0.03939333056849729,0.004
Gemma-1,Gemma-4-12B,0.04625453172689702,0.004
Mistral-Small-3.1,Qwen3,0.04576292776254394,0.004
Gemma-3n,Llama-1,0.03161943675776212,0.004
DeepSeek-V3,Qwen3.5,0.03704873312428949,0.004
Gemma-4,Phi-1.5,0.0394037851780199,0.004
Devstral-2,Mixtral-8x22B,0.03166506008218743,0.004
Gemma-4,Llama-2,0.04920049353550383,0.004
Llama-3,Llama-4,0.05122361317077859,0.004
Gemma-1,Phi-4-reasoning-plus,0.039294228285199864,0.002
Gemma-3n,Llama-2,0.030558313542681386,0.002
Mistral-7B,Qwen3.6,0.03648767120717548,0.002
Ministral-3,Phi-1,0.02716492265725754,0.002
DeepSeek-R1,Mistral-7B,0.04192192577817135,0.002
Devstral-2,Phi-4-reasoning-plus,0.036870920493824386,0.002
DeepSeek-V3,DeepSeek-V3.1,0.040606098655004606,0.002
Llama-2,Phi-2,0.034833573758096543,0.002
Gemma-1,Phi-1.5,0.04627987588548878,0.002
DeepSeek-V3.2,Qwen3,0.04088540579708517,0.002
Gemma-1,Phi-2,0.03625441736845884,0.002
Phi-2,Phi-4-reasoning-plus,0.047319361196770784,0.002
Qwen1.5,Qwen3,0.042595373980919,0.002
Llama-3,Phi-2,0.04681922387075457,0.002
Gemma-3n,Mistral-Medium-3,0.025879889678239707,0.002
Gemma-3n,Mixtral-8x22B,0.02998285714523899,0.002
Mistral-Medium-3,Qwen1.5,0.033264164494488026,0.002
Llama-4,Mistral-Small-3,0.03758617390388896,0.002
DeepSeek-R1,Qwen3,0.03395974609182253,0.002
Mistral-Medium-3,Phi-1.5,0.03916993610917546,0.002
Mistral-Large-3,Mixtral-8x22B,0.018494127166056126,0.002
Phi-2,Qwen2,0.03554996269920371,0.002
Llama-3,Qwen3,0.03980970043914766,0.002
DeepSeek-V3,Phi-2,0.03750544191086796,0.002
Mixtral-8x22B,Qwen3.6,0.02456120922441399,0.002
Llama-4,Phi-4-reasoning-plus,0.048174172100086024,0.002
Llama-1,Phi-2,0.02865999541285949,0.002
Gemma-3,Mistral-Large-2,0.03761071940470045,0.002
Gemma-3n,Phi-4,0.03806326689264423,0.002
Gemma-2,Mistral-Large-3,0.02834961093522894,0.002
Gemma-4-12B,Llama-1,0.03186604375789812,0.002
Mixtral-8x7B,Phi-1.5,0.050967584617761325,0.002
Gemma-4-12B,Phi-1,0.022372020046363874,0.002
