component,share,se,share_lo,share_hi,mc_lo,mc_hi,mc_sd
family,0.5567722555668733,0.3996220259153371,0.2147818996527443,0.8255093673569615,0.549428880835895,0.5626115109975635,0.003452691618047084
era,0.12944949549764206,0.10209010608065282,0.024300095809473374,0.4548484684272273,0.12369644586270107,0.13515475995433468,0.0030567804844356806
unique,0.31377824893548456,0.08580981102070157,0.11011447058344798,0.586037554348361,0.30653058681598216,0.3204860654092969,0.0034744553327640706
