scenario,rep,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,audit_hard_fail,cond
S1,0,0.9610714828140063,0.05440916018883967,0.298186879702754,0.7315941562097883,0.041417755443005695,0.226988088347206,False,
S1,1,1.2115498998013292,0.07778282758352226,0.30259954043851,0.7610561857998352,0.0488606388322502,0.1900831753679146,False,
S1,2,1.5344950221436462,2.061153622438558e-09,0.46108360873869897,0.7689474104461874,1.0328601381135932e-09,0.23105258852095242,False,
S1,3,0.12938734165120674,0.056959148525339155,0.3591817076086114,0.23717810037413087,0.10441100708743034,0.6584108925384389,False,
S1,4,0.2548051568068095,0.1223122828492422,0.1616596256307716,0.4729324487321327,0.22701835458442915,0.30004919668343805,False,
S1,5,0.6287817162799813,0.10760607092592586,0.32386252784175257,0.5930502517716457,0.10149119448371852,0.30545855374463576,False,
S1,6,0.5022149751448536,2.061153622438558e-09,0.3577334452476502,0.5840059264390568,2.396834006111144e-09,0.41599407116410925,False,
S1,7,0.2932369427786794,0.06743402291048463,0.4509726561400355,0.36128780525350757,0.08308329061775747,0.5556289041287349,False,
S1,8,0.032138812010079086,0.12445082762980068,0.24660143001687312,0.0797111206789369,0.3086646431324705,0.6116242361885926,False,
S1,9,0.5195671716315697,2.061153622438558e-09,0.2403878011186951,0.6836815191064438,2.712204921021841e-09,0.3163184781813514,False,
S1,10,1.4043792243914892,0.10601920474590877,0.33394313025432937,0.7614528975070431,0.057483498219751884,0.1810636042732049,False,
S1,11,0.46153068410431386,0.011727695354522527,0.2767841146948552,0.6153393810374447,0.01563604121891179,0.36902457774364344,False,
S1,12,0.39185452062100046,0.047187525467618924,0.4131098383379142,0.459841171254,0.05537454804711764,0.4847842806988823,False,
S1,13,1.5090324890984683,0.12173334370688885,0.2872870601608316,0.7867522812495605,0.06346714637187784,0.14978057237856154,False,
S1,14,0.20150606256834547,0.055118762563947904,0.3228636960002969,0.34773089581569083,0.09511622845646743,0.5571528757278419,False,
S1,15,0.27785250830675506,0.16409369524504241,0.2438614137716321,0.4051464307018899,0.23927073876121033,0.3555828305368998,False,
S1,16,0.3816401169275437,0.17741124347435333,0.2355336629860718,0.4803011706667945,0.22327534279201922,0.2964234865411864,False,
S1,17,0.5775286640301556,0.10049418374463175,0.2344554981727252,0.6329231445272852,0.11013322583592834,0.2569436296367865,False,
S1,18,1.274317224009775,0.013674951621815406,0.28461393987045563,0.8103219308688471,0.00869572583179848,0.1809823432993545,False,
S1,19,0.6353136507651177,0.11554143541000204,0.2566572215659799,0.6305765655503776,0.11467992452524234,0.2547435099243801,False,
S1,20,0.37725731945003743,0.17233896911428173,0.28341282562778636,0.4528849841167953,0.20688725510695619,0.3402277607762485,False,
S1,21,0.5790083699742724,0.2219408871111593,0.39975212327642884,0.48222512228625414,0.18484270172511336,0.3329321759886324,False,
S1,22,0.428926398034046,0.17916818715475524,0.1747446850943587,0.5479111923944483,0.2288696977221755,0.22321910988337618,False,
S1,23,0.05832423545334648,0.10840636178770933,0.4073861405691324,0.10158950543021682,0.18882285543737298,0.7095876391324102,False,
S1,24,0.3923766194476236,0.2500672561129745,0.24843220984968123,0.4404390530551963,0.2806981354739249,0.27886281147087877,False,
S2,0,0.23322906053441683,0.21970840518775286,0.29089081001096584,0.3135522917632306,0.29537517240952266,0.39107253582724677,False,
S2,1,0.26832516697012565,0.3907137449975398,0.3068833701452585,0.277791673242254,0.40449811773972755,0.31771020901801855,False,
S2,2,0.21384216288539298,0.2795137876041132,0.5144655107175365,0.2121825850277881,0.2773445479810943,0.5104728669911177,False,
S2,3,2.061153622438558e-09,0.3285324949923499,0.407345318590357,2.8009454540155414e-09,0.4464497882775532,0.5535502089215012,False,
S2,4,0.0994310306724373,0.5136023818143213,0.17015220630631833,0.12695717118205624,0.6557862778504601,0.21725655096748364,False,
S2,5,0.047354699042756965,0.6234946391385552,0.33032434496099394,0.04729918478692773,0.6227637118682955,0.32993710334477694,False,
S2,6,0.13945336948393328,0.23950128717135014,0.4019687301615384,0.17857496886137478,0.3066898638387546,0.5147351672998707,False,
S2,7,0.08038444306828434,0.496091682965627,0.4572478687985346,0.07776199785447921,0.47990729193244414,0.4423307102130766,False,
S2,8,2.061153622438558e-09,0.7740212027465478,0.23919068225719273,2.034276984658536e-09,0.7639282687343496,0.23607172923137357,False,
S2,9,0.03075183025962414,0.39769809069079776,0.24647363361192753,0.045563427223346796,0.5892490905117143,0.36518748226493897,False,
S2,10,0.37709197848796405,0.47176384601759486,0.33749826041149006,0.3178578666202601,0.3976585506936414,0.2844835826860986,False,
S2,11,0.01024816356583554,0.9339256940194736,0.23771698717260864,0.008670989889878225,0.7901962335707626,0.20113277653935913,False,
S2,12,0.09555266410874419,0.6659827159972338,0.4316453509467341,0.08008230574126066,0.5581574514781635,0.3617602427805759,False,
S2,13,0.3348412857029628,0.6479816658129529,0.28913804250322717,0.2632480770066157,0.5094351704649842,0.22731675252839997,False,
S2,14,0.027183618981700398,0.4481043843992494,0.3148279321831013,0.03440459527283733,0.567137510116607,0.39845789461055575,False,
S2,15,0.03621711648677841,0.8943744020083975,0.2476816427612459,0.030737453485029913,0.7590552271043024,0.21020731941066778,False,
S2,16,0.03709565026879194,0.6124686256878816,0.22699586421981366,0.042319572347110236,0.6987183167655407,0.258962110887349,False,
S2,17,0.1739114605740326,0.45960770230789716,0.21237950627707206,0.20559372761153122,0.5433365946359063,0.2510696777525625,False,
S2,18,0.11865444848454752,0.26574514441569036,0.28338644627501697,0.17768333197125682,0.3979495359679836,0.42436713206075966,False,
S2,19,0.11146215240852053,0.448712588585027,0.258275745680869,0.13618679959666358,0.5482464680401943,0.31556673236314203,False,
S2,20,0.06411890604624607,0.5315363455511367,0.2783102222057526,0.0733654909355025,0.6081891807900729,0.31844532827442473,False,
S2,21,0.025522565826099925,1.0236388085531896,0.3969178662403027,0.017649493270620795,0.7078718646943563,0.2744786420350228,False,
S2,22,0.0671947287328199,0.5090179996101748,0.17478017847969296,0.08947451849726303,0.6777933519555277,0.2327321295472092,False,
S2,23,2.061153622438558e-09,0.5708608662855502,0.4049682260949712,2.112207592680823e-09,0.5850008669931807,0.4149991308946118,False,
S2,24,0.03404845910342695,0.6259006021167178,0.23658392221870755,0.03797792131732453,0.6981344955273552,0.26388758315532035,False,
S3,0,0.6059064080939954,0.13990264394812213,0.29270698784563326,0.5834348096919961,0.1347139943676206,0.28185119594038316,False,
S3,1,0.7333534623719258,0.233401361697604,0.3048318403024334,0.5767231466949436,0.1835512814322262,0.23972557187283008,False,
S3,2,0.8565366300699047,0.08923273105350524,0.5185107668951388,0.5849540765324478,0.060939658570832486,0.35410626489671965,False,
S3,3,0.0779518086263311,0.20105220691626102,0.3667623117313611,0.12071209868652942,0.31133894479290297,0.5679489565205676,False,
S3,4,0.17665861349153028,0.30646720938572924,0.16701051354810292,0.2717254883227269,0.47138914134652826,0.25688537033074477,False,
S3,5,0.327335344397651,0.35547752407855493,0.33189819913739416,0.3225897054296244,0.35032388570922735,0.32708640886114815,False,
S3,6,0.3248797793739384,0.07078481359460222,0.40570064754973234,0.4054078751454536,0.0883302769019817,0.5062618479525647,False,
S3,7,0.20054835186828862,0.27901677492597043,0.4561621843589337,0.21432349946175272,0.29818171554927625,0.48749478498897103,False,
