dropped_family,label,share_family,share_era,share_unique,converged
DeepSeek,leave-out DeepSeek,0.5108240166396245,0.22479909481558719,0.2643768885447883,True
Gemma,leave-out Gemma,0.5886199898419932,0.14048403642934024,0.27089597372866664,True
Llama,leave-out Llama,0.4991863095244618,0.12169869952255132,0.3791149909529868,True
Mistral,leave-out Mistral,0.48415064085423737,3.982187359672919e-09,0.5158493551635752,True
Phi,leave-out Phi,0.5754927861965861,0.11403450043339933,0.3104727133700146,True
Qwen,leave-out Qwen,0.6028048452770902,0.12878601029858566,0.2684091444243241,True
