scenario,family_rel_bias_mean,family_share_bias_pp_mean,family_coverage_pct,family_ci_width_mean,era_rel_bias_mean,era_share_bias_pp_mean,era_coverage_pct,era_ci_width_mean,unique_rel_bias_mean,unique_share_bias_pp_mean,unique_coverage_pct,unique_ci_width_mean,convergence_pct,n_convergence_warnings
A,0.003737831208350917,0.18689156041754584,94.0,0.28151438676916557,-0.06539919011334466,-1.3079838022668933,89.0,0.25398270438537535,0.03736974139497844,1.121092241849353,96.0,0.1925947566671653,100.0,0
B,0.061892599818083455,1.2378519963616692,88.0,0.21796338871825335,-0.047734824934158926,-2.3867412467079463,89.0,0.3706402789549266,0.03829630834487637,1.148889250346291,93.0,0.24114314652369057,100.0,0
C,-0.009204193602763986,-0.3037383888912115,94.0,0.26422662002289493,-0.0009852153862377813,-0.032512107745846786,95.0,0.34169710737211223,0.009889720489325406,0.33625049663706386,95.0,0.22100816160233352,100.0,0
