scenario,d2_lpm_bias_pp_family,d2_lpm_bias_pp_era,d2_lpm_era_boundary_pct,d2_lpm_ranking_ok_pct,d2_lpm_converged_pct,d2_glmm_bias_pp_family,d2_glmm_bias_pp_era,d2_glmm_era_boundary_pct,d2_glmm_ranking_ok_pct,d2_glmm_converged_pct,d2_cross_path_share_family_corr,d2_cross_path_share_family_agree_pct
A,-15.874633583888357,8.591644565791265,0.0,56.666666666666664,100.0,-17.830416690222364,-4.805172523397261,60.0,76.66666666666667,33.33333333333333,0.8954668926455879,76.66666666666667
B,-2.506275309002189,1.8395524609637637,3.3333333333333335,80.0,100.0,-3.896929255979103,-1.751215533912447,20.0,70.0,66.66666666666666,0.923984976675831,93.33333333333333
C,-5.515239074868819,-2.5471260455430413,6.666666666666667,46.666666666666664,100.0,-11.034087307520597,-13.477271357322376,53.333333333333336,66.66666666666666,46.666666666666664,0.807376066491829,73.33333333333333
