scenario,family_rel_bias_mean,family_share_bias_pp_mean,family_coverage_pct,family_ci_width_mean,era_rel_bias_mean,era_share_bias_pp_mean,era_coverage_pct,era_ci_width_mean,unique_rel_bias_mean,unique_share_bias_pp_mean,unique_coverage_pct,unique_ci_width_mean,convergence_pct,n_convergence_warnings
A,-0.10680207245289552,-5.340103622644776,100.0,0.6424959264018442,0.032438414340944244,0.6487682868188849,98.0,0.5339473006624551,0.1563778445275299,4.691335335825897,96.0,0.5004214033973101,100.0,0
B,-0.031271231476652506,-0.6254246295330501,99.0,0.5794398082788226,-0.0051451146071676,-0.25725573035838,100.0,0.5688967710654473,0.029422678663047673,0.8826803598914301,98.0,0.42558433366452886,100.0,0
C,-0.10471566227147032,-3.455616854958521,100.0,0.6309282007009386,0.06084847984434528,2.0079998348633943,99.0,0.549757784548377,0.042576971179268265,1.447617020095121,95.0,0.47901422504881785,100.0,0
